score_id,key,segment_start,melody_vector,final_score
11603002,A,272,"[0, 0, 0, 0, 1, 13, 13, 13, 4, 13, 13, 13, 1, 13, 13, 13, 3, 13, 13, 13, 1, 13, 13, 13, 11, 13, 13, 13, 1, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 6, 13, 13, 13, 5, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",-75.54721025404716
11603002,A,92,"[0, 0, 0, 0, 1, 13, 13, 13, 4, 13, 13, 13, 1, 13, 13, 13, 3, 13, 13, 13, 1, 13, 13, 13, 11, 13, 13, 13, 1, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 6, 13, 13, 13, 4, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",-37.26945081797358
11603002,A,272,"[0, 0, 0, 0, 1, 13, 13, 13, 4, 13, 13, 13, 1, 13, 13, 13, 3, 13, 13, 13, 1, 13, 13, 13, 11, 13, 13, 13, 1, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 6, 13, 13, 13, 5, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",-27.7125737753353
2973436,C,32,"[5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0]",150.2225891361178
2973436,C,4,"[5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8]",135.60251640087725
2973436,C,24,"[5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0]",100.93980255104066
2973436,C,8,"[5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0]",51.63112895039221
2973436,C,56,"[5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0]",10.939786003709756
2973436,C,60,"[5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8]",126.98823127815504
2973436,C,52,"[5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8]",120.21192426098801
2973436,C,24,"[5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0]",142.06208816870253
2973436,C,28,"[5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8]",11.755988377013402
2973436,C,4,"[5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8]",76.92883422594188
2973436,C,0,"[5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 8, 0, 12, 1, 12, 0, 8, 1, 12, 0, 8, 1, 12, 0, 8, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0, 5, 13, 0, 0]",143.70210674341914
2567011,C,80,"[4, 13, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 9, 13, 6, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 6, 13, 1, 13, 12, 13, 8, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",94.3858193146616
2567011,C,140,"[3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 4, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 9, 13, 13, 13, 13, 13, 13, 13, 4, 13, 13, 13, 13, 13, 13, 13, 3, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",134.0767052477983
