score_id,key,segment_start,melody_vector,final_score
6021111,E,92,"[1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 1, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 1, 13, 4, 13, 8, 13, 13, 13, 13, 13, 1, 13, 1, 13, 1, 13, 11, 13, 9, 13, 8, 13, 13, 13, 13, 13, 4, 13, 1, 13, 13, 13, 4, 13, 6, 13]",45.5253
6021111,E,4,"[8, 13, 13, 13, 13, 13, 1, 13, 1, 13, 1, 13, 11, 13, 9, 13, 8, 13, 13, 13, 13, 13, 4, 13, 1, 13, 13, 13, 4, 13, 6, 13, 8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 8, 13, 4, 13]",43.1171
6021111,E,64,"[8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 8, 13, 4, 13, 3, 13, 13, 13, 13, 13, 8, 13, 3, 13, 8, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 11, 9, 8, 13, 13, 13, 9, 13, 9, 13]",50.5901
6021111,E,112,"[1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 8, 13, 4, 13, 3, 13, 13, 13, 13, 13, 8, 13, 3, 13, 8, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 11, 9, 8, 13, 13, 13, 9, 13, 9, 13, 8, 13, 13, 13, 13, 13, 8, 13, 10, 13, 12, 13, 1, 13, 3, 13]",50.5913
6021111,E,32,"[4, 13, 13, 13, 13, 13, 13, 13, 4, 13, 0, 0, 9, 13, 9, 13, 8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 1, 13, 4, 13, 1, 13, 13, 13, 1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",49.4143
6021111,E,80,"[8, 13, 13, 13, 13, 13, 8, 13, 10, 13, 12, 13, 1, 13, 3, 13, 4, 13, 13, 13, 13, 13, 13, 13, 4, 13, 0, 0, 9, 13, 9, 13, 8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 1, 13, 4, 13]",44.0145
6021111,E,20,"[3, 13, 13, 13, 13, 13, 8, 13, 3, 13, 8, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 11, 9, 8, 13, 13, 13, 9, 13, 9, 13, 8, 13, 13, 13, 13, 13, 8, 13, 10, 13, 12, 13, 1, 13, 3, 13, 4, 13, 13, 13, 13, 13, 13, 13, 4, 13, 0, 0, 9, 13, 9, 13]",48.2195
6021111,E,60,"[8, 13, 13, 13, 13, 13, 4, 13, 1, 13, 13, 13, 4, 13, 6, 13, 8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 8, 13, 4, 13, 3, 13, 13, 13, 13, 13, 8, 13, 3, 13, 8, 13, 3, 13, 4, 13]",44.4851
6021111,E,12,"[8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 8, 13, 4, 13, 3, 13, 13, 13, 13, 13, 8, 13, 3, 13, 8, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 11, 9, 8, 13, 13, 13, 9, 13, 9, 13]",42.6464
6021111,E,4,"[8, 13, 13, 13, 13, 13, 1, 13, 1, 13, 1, 13, 11, 13, 9, 13, 8, 13, 13, 13, 13, 13, 4, 13, 1, 13, 13, 13, 4, 13, 6, 13, 8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 8, 13, 4, 13]",42.2993
6021111,E,32,"[4, 13, 13, 13, 13, 13, 13, 13, 4, 13, 0, 0, 9, 13, 9, 13, 8, 13, 13, 13, 13, 13, 8, 13, 11, 13, 9, 13, 3, 13, 4, 13, 1, 13, 13, 13, 13, 13, 13, 13, 1, 13, 0, 0, 1, 13, 4, 13, 1, 13, 13, 13, 1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",42.6814
