score_id,key,segment_start,melody_vector,final_score
gen_01,G,0.0,"[5, 13, 9, 13, 10, 13, 7, 13, 3, 13, 13, 13, 10, 13, 7, 13, 5, 13, 4, 13, 5, 13, 0, 0, 5, 13, 4, 13, 5, 13, 9, 13, 5, 13, 4, 13, 5, 0, 7, 13, 8, 13, 12, 13, 8, 13, 9, 13, 8, 13, 7, 13, 5, 13, 2, 13, 1, 13, 13, 13, 13, 13, 13, 13]",382
gen_02,A,0.0,"[1, 13, 2, 13, 3, 13, 6, 13, 8, 13, 13, 13, 11, 13, 4, 13, 5, 13, 4, 13, 5, 13, 0, 0, 4, 13, 3, 13, 5, 13, 7, 13, 8, 13, 4, 13, 8, 0, 4, 13, 8, 13, 12, 13, 8, 13, 9, 13, 7, 13, 4, 13, 5, 13, 2, 13, 1, 13, 13, 13, 13, 13, 13, 13]",370
gen_03,D,0.0,"[5, 13, 7, 13, 10, 13, 6, 13, 5, 13, 13, 13, 8, 13, 4, 13, 5, 13, 4, 13, 5, 13, 0, 0, 12, 13, 9, 13, 10, 13, 6, 13, 5, 13, 4, 13, 5, 0, 3, 13, 9, 13, 4, 13, 8, 13, 9, 13, 8, 13, 7, 13, 5, 13, 2, 13, 1, 13, 13, 13, 13, 13, 13, 13]",370
gen_04,D,0.0,"[5, 13, 7, 13, 10, 13, 6, 13, 3, 13, 13, 13, 4, 13, 7, 13, 4, 13, 2, 13, 5, 13, 0, 0, 7, 13, 7, 13, 8, 13, 5, 13, 3, 13, 4, 13, 5, 0, 8, 13, 8, 13, 12, 13, 8, 13, 7, 13, 8, 13, 7, 13, 5, 13, 2, 13, 1, 13, 13, 13, 13, 13, 13, 13]",363
gen_05,E,0.0,"[5, 13, 7, 13, 10, 13, 6, 13, 6, 13, 13, 13, 8, 13, 7, 13, 5, 13, 4, 13, 6, 13, 0, 0, 5, 13, 4, 13, 5, 13, 9, 13, 5, 13, 4, 13, 5, 0, 7, 13, 6, 13, 6, 13, 10, 13, 4, 13, 8, 13, 7, 13, 5, 13, 1, 13, 1, 13, 13, 13, 13, 13, 13, 13]",356
gen_06,G,0.0,"[5, 13, 7, 13, 10, 13, 6, 13, 3, 13, 13, 13, 2, 13, 5, 13, 5, 13, 4, 13, 5, 13, 0, 0, 4, 13, 3, 13, 7, 13, 7, 13, 8, 13, 7, 13, 6, 0, 6, 13, 8, 13, 4, 13, 5, 13, 10, 13, 8, 13, 7, 13, 5, 13, 2, 13, 1, 13, 13, 13, 13, 13, 13, 13]",356
gen_07,C,0.0,"[5, 13, 7, 13, 10, 13, 5, 13, 3, 13, 13, 13, 8, 13, 1, 13, 8, 13, 5, 13, 6, 13, 0, 0, 5, 13, 7, 13, 8, 13, 5, 13, 8, 13, 7, 13, 5, 0, 3, 13, 1, 13, 4, 13, 3, 13, 4, 13, 6, 13, 7, 13, 5, 13, 3, 13, 1, 13, 13, 13, 13, 13, 13, 13]",356
gen_08,Bb,0.0,"[5, 13, 6, 13, 10, 13, 11, 13, 9, 13, 13, 13, 10, 13, 7, 13, 5, 13, 4, 13, 4, 13, 0, 0, 5, 13, 7, 13, 8, 13, 9, 13, 5, 13, 4, 13, 9, 0, 7, 13, 5, 13, 8, 13, 5, 13, 8, 13, 10, 13, 9, 13, 5, 13, 2, 13, 1, 13, 13, 13, 13, 13, 13, 13]",355
gen_09,F,0.0,"[8, 13, 12, 13, 8, 13, 9, 13, 8, 13, 13, 13, 10, 13, 7, 13, 8, 13, 8, 13, 5, 13, 0, 0, 4, 13, 3, 13, 5, 13, 7, 13, 8, 13, 4, 13, 6, 0, 6, 13, 6, 13, 6, 13, 8, 13, 9, 13, 8, 13, 5, 13, 8, 13, 1, 13, 1, 13, 13, 13, 13, 13, 13, 13]",354
gen_10,D,0.0,"[5, 13, 7, 13, 10, 13, 6, 13, 3, 13, 13, 13, 10, 13, 7, 13, 1, 13, 4, 13, 4, 13, 0, 0, 5, 13, 7, 13, 8, 13, 9, 13, 5, 13, 4, 13, 3, 0, 7, 13, 6, 13, 6, 13, 6, 13, 9, 13, 8, 13, 7, 13, 5, 13, 2, 13, 1, 13, 13, 13, 13, 13, 13, 13]",352
