score_id,key,segment_start,melody_vector,final_score
dataset_001,C,0,"[5, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 10, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 5, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",0
dataset_002,C,0,"[4, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 8, 13, 13, 13, 4, 13, 13, 13, 3, 13, 1, 13, 4, 13, 3, 13, 1, 13, 4, 13, 4, 13, 3, 13, 1, 13, 4, 13, 4, 13, 3, 13, 1, 13, 4, 13, 4, 13, 9, 13, 13, 13, 13, 13, 9, 13, 13, 13, 13, 13, 13, 13]",0
dataset_003,C,0,"[5, 13, 13, 13, 13, 13, 2, 13, 11, 13, 13, 13, 5, 13, 13, 13, 4, 13, 13, 13, 13, 13, 13, 13, 2, 13, 4, 13, 2, 13, 13, 13, 12, 13, 13, 13, 13, 13, 7, 13, 12, 13, 13, 13, 4, 13, 13, 13, 4, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0, 0, 0, 0]",0
dataset_004,C,0,"[6, 6, 0, 6, 6, 6, 0, 4, 6, 13, 0, 0, 0, 0, 0, 0, 11, 8, 13, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 4, 13, 8, 8, 8, 8, 4, 13, 4, 0, 8, 8, 8, 8, 1, 13, 9, 9, 4, 13, 4, 4, 1, 13, 1, 0, 6, 6, 6, 4]",0
dataset_005,C,0,"[1, 13, 1, 13, 13, 13, 1, 13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 13, 13, 13, 13, 13, 13, 3, 13, 13, 13, 1, 13, 13, 13, 1, 13, 1, 13, 13, 13, 10, 13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 5, 13, 3, 13, 5, 13]",0
dataset_006,C,0,"[10, 13, 13, 13, 13, 13, 13, 13, 1, 13, 13, 13, 5, 13, 5, 13, 5, 5, 13, 13, 0, 8, 13, 5, 5, 13, 0, 0, 6, 5, 3, 1, 5, 5, 13, 13, 5, 5, 13, 3, 10, 13, 13, 13, 1, 1, 13, 1, 1, 13, 13, 8, 8, 13, 13, 8, 10, 8, 13, 8, 0, 10, 13, 10]",0
dataset_007,C,0,"[8, 13, 13, 8, 13, 13, 8, 13, 8, 13, 13, 12, 13, 13, 5, 13, 5, 13, 13, 13, 8, 13, 7, 13, 13, 13, 0, 0, 0, 0, 5, 7, 8, 13, 13, 8, 13, 13, 8, 13, 13, 13, 0, 0, 0, 0, 5, 7, 8, 13, 13, 8, 13, 13, 7, 13, 13, 13, 3, 13, 0, 0, 5, 7]",0
dataset_008,C,0,"[1, 13, 13, 13, 3, 13, 13, 13, 5, 13, 13, 1, 1, 1, 13, 13, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 13, 13, 12, 13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 12, 12, 12, 13, 13, 10, 13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 13, 1]",0
dataset_009,C,0,"[0, 0, 0, 0, 3, 13, 2, 13, 3, 13, 13, 13, 5, 13, 13, 13, 0, 0, 0, 0, 3, 13, 2, 13, 3, 13, 7, 13, 5, 13, 13, 13, 0, 0, 0, 0, 3, 13, 2, 13, 12, 13, 5, 13, 3, 13, 2, 13, 3, 13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
dataset_010,C,0,"[1, 13, 13, 13, 13, 13, 4, 13, 6, 13, 13, 13, 4, 13, 13, 13, 3, 13, 13, 13, 13, 13, 8, 13, 13, 13, 6, 13, 8, 13, 13, 13, 1, 13, 13, 13, 13, 13, 4, 13, 6, 13, 13, 13, 4, 13, 13, 13, 3, 13, 13, 13, 13, 13, 8, 13, 13, 13, 6, 13, 8, 13, 13, 13]",0
