score_id,key,segment_start,melody_vector,final_score
synthetic_001,C,0,"[1, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",0
synthetic_002,C,0,"[7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1]",0
synthetic_003,C,0,"[11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10, 11, 9, 12, 10]",0
synthetic_004,C,0,"[1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 4, 5, 4, 3, 3, 3, 3, 2, 1, 2, 2, 3, 3, 4, 3, 4, 5, 5, 6, 7, 8, 9, 9, 9, 9, 10, 9, 9, 8, 9, 9, 10, 11, 12, 11, 10, 11, 11, 12, 12, 11, 12, 11, 12, 11, 10, 10, 10, 11]",0
synthetic_005,C,0,"[5, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",0
synthetic_006,C,0,"[6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12, 2, 4, 6, 8, 10, 12]",0
synthetic_007,C,0,"[8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8, 10, 8, 8]",0
synthetic_008,C,0,"[7, 6, 6, 7, 6, 5, 5, 4, 4, 5, 5, 6, 7, 7, 6, 5, 5, 4, 3, 4, 3, 3, 4, 3, 4, 5, 6, 6, 7, 7, 6, 7, 8, 9, 8, 8, 9, 10, 11, 10, 10, 10, 11, 11, 10, 10, 10, 10, 11, 12, 11, 12, 11, 11, 12, 11, 10, 11, 11, 12, 11, 11, 11, 12]",0
synthetic_009,C,0,"[9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",0
synthetic_010,C,0,"[3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9, 11, 1, 3, 5, 7, 9]",0
synthetic_011,C,0,"[10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12, 10, 1, 12, 12]",0
synthetic_012,C,0,"[1, 2, 1, 2, 2, 1, 2, 3, 3, 4, 5, 5, 5, 5, 6, 7, 6, 5, 5, 4, 5, 6, 6, 5, 5, 5, 4, 3, 2, 2, 2, 2, 3, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 3, 4, 3, 3, 2, 2, 2, 3, 3, 3, 3, 4, 3, 2, 3, 2, 1, 1, 1, 2, 2]",0
synthetic_013,C,0,"[1, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0, 1, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]",0
synthetic_014,C,0,"[3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9]",0
synthetic_015,C,0,"[6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6, 6, 10, 6]",0
synthetic_016,C,0,"[8, 8, 7, 6, 6, 5, 5, 5, 4, 3, 2, 3, 3, 3, 3, 3, 4, 4, 5, 6, 6, 7, 6, 7, 7, 7, 6, 6, 6, 6, 5, 5, 6, 7, 7, 8, 8, 7, 8, 8, 7, 7, 8, 8, 9, 10, 10, 9, 10, 11, 12, 12, 11, 10, 10, 11, 12, 11, 10, 10, 11, 10, 11, 11]",0
synthetic_017,C,0,"[5, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",0
synthetic_018,C,0,"[6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0
synthetic_019,C,0,"[1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6, 1, 3, 6, 6]",0
synthetic_020,C,0,"[7, 8, 8, 9, 10, 10, 9, 10, 10, 10, 10, 11, 10, 11, 10, 11, 11, 11, 12, 12, 11, 11, 11, 10, 9, 10, 11, 10, 9, 8, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 6, 6, 5, 6, 6, 5, 4, 4, 5, 5, 6, 7, 6, 6, 7, 7, 8, 9, 10, 9, 8, 9, 8, 8]",0
synthetic_021,C,0,"[9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 0]",0
synthetic_022,C,0,"[11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5, 3, 1, 11, 9, 7, 5]",0
